paper_title,authors,conference_journal_title,state,other_info,date
A Neural Network Architecture with an Attention-based Layer for Spatial Prediction of Fine Particulate Matter,"Luis Colchado, Edwin Villanueva, José Ochoa-Luna",IEEE International Conference on Data Science and Advanced Analytics,Accepted for publication,Publicación de la Maestría en Ciencia de la Computación,2021
A Neural Network Architecture with an Attention-based Layer for Spatial Prediction of Fine Particulate Matter,"Luis Colchado, Edwin Villanueva, José Ochoa-Luna",IEEE International Conference on Data Science and Advanced Analytics,Accepted for publication,Publicación de la Maestría en Ciencia de la Computación,2021
A Neural Network Architecture with an Attention-based Layer for Spatial Prediction of Fine Particulate Matter,"Luis Colchado, Edwin Villanueva, José Ochoa-Luna",IEEE International Conference on Data Science and Advanced Analytics,Accepted for publication,Publicación de la Maestría en Ciencia de la Computación,2021
A Neural Network Architecture with an Attention-based Layer for Spatial Prediction of Fine Particulate Matter,"Luis Colchado, Edwin Villanueva, José Ochoa-Luna",IEEE International Conference on Data Science and Advanced Analytics,Accepted for publication,Publicación de la Maestría en Ciencia de la Computación,2021
Transformer-based Approaches for Personality Detection using the MBTI Model,"Ricardo Manuel Lazo Vásquez, José Ochoa Luna",Latin American Computing Conference,Accepted for publication,,2020
